,0
0,Chauncey Billups
1,C.J. McCollum
2,Joakim Noah
3,Jerry Lucas
4,R.J. Barrett
5,Dave DeBusschere
6,Andre Drummond
7,Tom Heinsohn
8,LaPhonso Ellis
9,Mohamed Bamba
10,Nate McMillan
11,Bruce Brown Jr.
12,Frank Kaminsky III
13,Kendrick Perkins
14,Kenyon Martin Jr.
15,Xavier Tillman
16,Lawrence Funderburke
17,Fred Hetzel
18,Glenn Robinson
19,Lou Williams
20,Cameron Thomas
21,Trey Murphy
22,Sviatoslav Mykhailiuk
23,Scott Burrell
24,Winston Bennett
25,Mike Gminski
26,Goran Dragic
27,Speedy Claxton
28,Randy Brown
29,Brian Cook
30,John Long
31,Juan Toscano
32,Kevin Grevey
33,Wes Matthews
34,Mike Penberthy
35,Patrick McCaw
36,Willie Burton
37,C.J. Elleby
38,Dennis Hopson
39,Chris Morris
40,Rodney Buford
41,Jason Collins
42,Wayne Cooper
43,J.T. Thor
44,Marko Simonović
45,Brandon Knight
46,Mike Holton
47,Jacque Vaughn
48,Kareem Rush
49,Haywoode Workman
50,Jim Petersen
51,Kenny Fields
52,Eddie Mast
53,Irving Thomas
54,Yakhouba Diawara
55,Monty Williams
56,Roshown McLeod
57,Darrell Walker
58,Gerry Ward
59,Gary Grant
60,Matt Fish
61,Jamal Sampson
62,Popeye Jones
63,Evan Eschmeyer
64,Tremaine Fowlkes
65,Earl Cureton
66,Tony Massenburg
67,Darrick Martin
68,Dajuan Wagner
