,name,formatted_name,url,url2
0,Michael Jordan,Michael-Jordan,https://www.2kratings.com/wp-content/uploads/Michael-Jordan-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Michael-Jordan-2K.png
1,LeBron James,LeBron-James,https://www.2kratings.com/wp-content/uploads/LeBron-James-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/LeBron-James-2K.png
2,Kareem Abdul-Jabbar,Kareem-Abdul-Jabbar,https://www.2kratings.com/wp-content/uploads/Kareem-Abdul-Jabbar-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Kareem-Abdul-Jabbar-2K.png
3,Bill Russell,Bill-Russell,https://www.2kratings.com/wp-content/uploads/Bill-Russell-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Bill-Russell-2K.png
4,Tim Duncan,Tim-Duncan,https://www.2kratings.com/wp-content/uploads/Tim-Duncan-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Tim-Duncan-2K.png
5,Giannis Antetokounmpo,Giannis-Antetokounmpo,https://www.2kratings.com/wp-content/uploads/Giannis-Antetokounmpo-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Giannis-Antetokounmpo-2K.png
6,Larry Bird,Larry-Bird,https://www.2kratings.com/wp-content/uploads/Larry-Bird-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Larry-Bird-2K.png
7,Magic Johnson,Magic-Johnson,https://www.2kratings.com/wp-content/uploads/Magic-Johnson-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Magic-Johnson-2K.png
8,Kobe Bryant,Kobe-Bryant,https://www.2kratings.com/wp-content/uploads/Kobe-Bryant-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Kobe-Bryant-2K.png
9,Shaquille O’Neal,Shaquille-ONeal,https://www.2kratings.com/wp-content/uploads/Shaquille-ONeal-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Shaquille-ONeal-2K.png
10,Hakeem Olajuwon,Hakeem-Olajuwon,https://www.2kratings.com/wp-content/uploads/Hakeem-Olajuwon-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Hakeem-Olajuwon-2K.png
11,Kevin Garnett,Kevin-Garnett,https://www.2kratings.com/wp-content/uploads/Kevin-Garnett-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Kevin-Garnett-2K.png
12,Stephen Curry,Stephen-Curry,https://www.2kratings.com/wp-content/uploads/Stephen-Curry-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Stephen-Curry-2K.png
13,Kevin Durant,Kevin-Durant,https://www.2kratings.com/wp-content/uploads/Kevin-Durant-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Kevin-Durant-2K.png
14,Nikola Jokic,Nikola-Jokic,https://www.2kratings.com/wp-content/uploads/Nikola-Jokic-2K-Rating.png,https://www.2kratings.com/wp-content/uploads/Nikola-Jokic-2K.png
